zip_ref;municipio;CCAA;provincia;lat;lon
02004;Albacete;Castilla - La Mancha;Albacete;38.993027767840545;-1.8653592090696285
02005;Albacete;Castilla - La Mancha;Albacete;39.005117029667225;-1.865554570345664
02006;Albacete;Castilla - La Mancha;Albacete;38.977303770968106;-1.8834839534767234
02007;Albacete;Castilla - La Mancha;Albacete;39.01904577729035;-1.8808596430912796
02008;Albacete;Castilla - La Mancha;Albacete;38.99602155782068;-1.8325888457102626
02049;Albacete;Castilla - La Mancha;Albacete;38.925585876412015;-1.891914689585047
02100;Tarazona de la Mancha;Castilla - La Mancha;Albacete;39.23901298183138;-1.936671394352399
02110;La Gineta;Castilla - La Mancha;Albacete;39.111067507462394;-1.9978717100759305
02120;Peñas de San Pedro;Castilla - La Mancha;Albacete;38.71874936016986;-1.9838531856798942
02124;Liétor;Castilla - La Mancha;Albacete;38.63032767506996;-2.005693591134528
02125;Ayna;Castilla - La Mancha;Albacete;38.53326018601189;-2.1283427711836187
02127;Peñascosa;Castilla - La Mancha;Albacete;38.72602615546376;-2.094830665514169
02129;Peñas de San Pedro;Castilla - La Mancha;Albacete;38.71259024676524;-2.0143622684459213
02130;Bogarra;Castilla - La Mancha;Albacete;38.57187576883095;-2.2159395273637474
02136;Paterna del Madera;Castilla - La Mancha;Albacete;38.6020426407526;-2.356721718601775
02137;Peñascosa;Castilla - La Mancha;Albacete;38.606949816990706;-2.3173539856565686
02139;Bogarra;Castilla - La Mancha;Albacete;38.59351039650056;-2.1806609524871403
02140;Albacete;Castilla - La Mancha;Albacete;38.841142565008;-1.9321152918284792
02141;Pozohondo;Castilla - La Mancha;Albacete;38.716946587704285;-1.9041260784547094
02142;Liétor;Castilla - La Mancha;Albacete;38.6228109370544;-1.859654675872529
02150;Valdeganga;Castilla - La Mancha;Albacete;39.121331442866655;-1.6674388416165096
02151;Casas de Juan Núñez;Castilla - La Mancha;Albacete;39.09726798277075;-1.574881798920929
02152;Alatoz;Castilla - La Mancha;Albacete;39.07970926220495;-1.370422526264744
02153;Carcelén;Castilla - La Mancha;Albacete;39.10620579937019;-1.2881937664320324
02154;Villavaliente;Castilla - La Mancha;Albacete;39.07688803242217;-1.4780435049202896
02155;Albacete;Castilla - La Mancha;Albacete;39.035727691269635;-1.774400546352403
02156;Chinchilla de Monte-Aragón;Castilla - La Mancha;Albacete;39.02029560457323;-1.664046266438989
02160;Lezuza;Castilla - La Mancha;Albacete;38.97079249685838;-2.344018008303268
02161;Lezuza;Castilla - La Mancha;Albacete;38.91210232335566;-2.2296402621829037
02162;La Herrera;Castilla - La Mancha;Albacete;38.944741773172595;-2.1031409561185175
02200;Casas-Ibáñez;Castilla - La Mancha;Albacete;39.31191477602257;-1.4588169672342868
02210;Alcalá del Júcar;Castilla - La Mancha;Albacete;39.19379442509531;-1.426699603103584
02211;Alcalá del Júcar;Castilla - La Mancha;Albacete;39.171173756410255;-1.3935070192821746
02212;Casas de Ves;Castilla - La Mancha;Albacete;39.249179331267804;-1.3009291532771101
02213;Villa de Ves;Castilla - La Mancha;Albacete;39.22464677287555;-1.2286451796382303
02214;Balsa de Ves;Castilla - La Mancha;Albacete;39.233889397116045;-1.2631099360636184
02215;Villatoya;Castilla - La Mancha;Albacete;39.29835598341131;-1.374706827182598
02220;Albacete;Castilla - La Mancha;Albacete;39.12269338603373;-1.8458728483640616
02230;Madrigueras;Castilla - La Mancha;Albacete;39.23375053002756;-1.8143267213363063
02240;Mahora;Castilla - La Mancha;Albacete;39.20480930915281;-1.7165247844316378
02246;Navas de Jorquera;Castilla - La Mancha;Albacete;39.28367946678964;-1.7266172130903665
02247;Cenizate;Castilla - La Mancha;Albacete;39.298196204680245;-1.660520595757263
02248;Jorquera;Castilla - La Mancha;Albacete;39.14957991759293;-1.4932285429837098
02249;Jorquera;Castilla - La Mancha;Albacete;39.16628408193968;-1.546688529227152
02250;Abengibre;Castilla - La Mancha;Albacete;39.21454417114401;-1.5390064615159973
02251;Fuentealbilla;Castilla - La Mancha;Albacete;39.23549885446108;-1.5936344155536897
02252;Alcalá del Júcar;Castilla - La Mancha;Albacete;39.2261931159724;-1.4653062437018252
02253;Golosalvo;Castilla - La Mancha;Albacete;39.23657693896636;-1.635939515007654
02260;Fuentealbilla;Castilla - La Mancha;Albacete;39.26981388254258;-1.5478624269546044
02270;Villamalea;Castilla - La Mancha;Albacete;39.35891334538379;-1.5504505611060386
02300;Alcaraz;Castilla - La Mancha;Albacete;38.594527485988905;-2.49964370266524
02310;Viveros;Castilla - La Mancha;Albacete;38.800276802680486;-2.574777277143384
02311;Povedilla;Castilla - La Mancha;Albacete;38.70534489019037;-2.619030490647409
